# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.0058108000000000005,9.98e-05,7.621,7.679
0.014421000000000002,0.9993938,7.621,7.679
0.034686,1.9986882000000001,7.621,7.679
0.0549812,2.9979828000000004,7.621,7.679
0.07530400000000001,3.9972778,7.621,7.679
0.0956516,4.996573000000001,7.621,7.679
0.1160212,5.9958682,7.622,7.678
0.13641,6.9951636,7.622,7.678
0.15681520000000002,7.994458600000001,7.622,7.678
0.1772342,8.9937536,7.622,7.678
0.197664,9.9930482,7.622,7.678
0.21810200000000002,10.9923424,7.622,7.678
0.23854540000000002,11.991636,7.622,7.678
0.2589914,12.9909292,7.622,7.678
0.2794372,13.990221600000002,7.622,7.678
0.2998802,14.9895132,7.622,7.678
0.32031740000000003,15.988804,7.622,7.678
0.340746,16.988093799999998,7.623,7.677
0.36116360000000003,17.9873826,7.623,7.677
0.381567,18.98667,7.623,7.677
0.4019536000000001,19.985956400000003,7.623,7.677
0.42232060000000005,20.985241400000003,7.623,7.677
0.4426652,21.984524800000003,7.623,7.677
0.46298480000000003,22.9838068,7.623,7.677
0.48327660000000006,23.9830872,7.623,7.677
0.5035376,24.9823656,7.623,7.677
0.5237652,25.9816424,7.623,7.677
0.5439566,26.9809172,7.624,7.676
0.5641090000000001,27.98019,7.624,7.676
0.5842198,28.9794608,7.624,7.676
0.6042860000000001,29.9787292,7.624,7.676
0.6243048,30.977995399999998,7.624,7.676
0.6442736,31.9772592,7.624,7.676
0.6641896,32.9765204,7.624,7.676
0.68405,33.9757792,7.624,7.676
0.703852,34.9750352,7.624,7.676
0.7235928,35.9742884,7.624,7.676
0.7432698000000001,36.973538600000005,7.624,7.676
0.76288,37.972786000000006,7.625,7.675
0.7824208,38.9720304,7.625,7.675
0.8018894,39.971271400000006,7.625,7.675
0.8212828000000001,40.9705092,7.625,7.675
0.8405986000000001,41.9697438,7.625,7.675
0.8598338000000001,42.968974800000005,7.637,7.663
0.8789858000000002,43.9682024,7.65,7.65
0.8980513999999999,44.967426200000006,7.663,7.637
0.9170284000000001,45.9666464,7.676,7.624
0.9359136,46.96586260000001,7.689,7.611
0.9547046,47.965075000000006,7.701,7.599
0.9733982,48.9642834,7.714,7.586
0.991992,49.96348760000001,7.727,7.573
1.010515,50.9626864,7.74,7.56
1.0295058,51.961856000000004,7.753,7.547
1.0499078000000002,52.9609562,7.766,7.534
1.0726766,53.95994540000001,7.754,7.546
1.0987674,54.9587826,7.74,7.56
1.1291354,55.9574266,7.725,7.575
1.1647358,56.9558362,7.685,7.615
1.2065238000000003,57.953970000000005,7.63,7.67
1.2554550000000002,58.95178680000001,7.627,7.673
1.3124842,59.9492456,7.661,7.639
1.378567,60.9463052,7.695,7.605
1.4546584,61.942924000000005,7.729,7.571
1.5417138000000001,62.939061200000005,7.763,7.537
1.6406749999999999,63.9346378,7.797,7.503
1.7523784,64.92928020000001,7.81,7.49
1.8776112000000003,65.922477,7.817,7.483
2.0171604,66.9137154,7.825,7.475
2.1718128,67.9024826,7.833,7.467
2.342355,68.8882664,7.839,7.461
2.529574,69.87055380000001,7.841,7.459
2.7342566,70.84883260000001,7.844,7.456
2.9571898,71.82259,7.846,7.454
3.1991602,72.7913132,7.848,7.452
3.4609546000000004,73.75449,7.85,7.45
3.74336,74.7116074,7.843,7.457
4.0471568,75.66215120000001,7.821,7.479
4.372846,76.60552,7.798,7.502
4.7205462,77.5409942,7.776,7.524
5.090349,78.4678456,7.81,7.49
5.4823454,79.38534620000001,7.913,7.387
5.8966266,80.2927676,8.015,7.285
6.3332838,81.1893818,8.094,7.206
6.7921836,82.0746458,7.951,7.349
7.272238000000001,82.94880280000001,7.809,7.491
7.772104400000001,83.81230520000001,7.666,7.634
8.2904412,84.66560600000001,7.548,7.752
8.825906000000002,85.5091572,7.611,7.689
9.377157,86.34341180000001,7.673,7.627
