# x_m,y_m,w_tr_right_m,w_tr_left_m
-733.069417,-955.794973,4.710,4.438
-729.440940,-952.351248,4.708,4.439
-725.811449,-948.908434,4.705,4.441
-722.181033,-945.466466,4.703,4.442
-718.549783,-942.025283,4.700,4.444
-714.917786,-938.584820,4.697,4.445
-711.285133,-935.145013,4.695,4.447
-707.651913,-931.705801,4.692,4.448
-704.018215,-928.267119,4.689,4.450
-700.384128,-924.828905,4.687,4.451
-696.749742,-921.391094,4.684,4.453
-693.115147,-917.953624,4.681,4.454
-689.480430,-914.516431,4.679,4.456
-685.845683,-911.079451,4.676,4.457
-682.210993,-907.642623,4.674,4.459
-678.576451,-904.205881,4.671,4.460
-674.942146,-900.769164,4.668,4.462
-671.308167,-897.332407,4.666,4.463
-667.674603,-893.895547,4.663,4.464
-664.041544,-890.458521,4.660,4.466
-660.409079,-887.021266,4.658,4.467
-656.777297,-883.583718,4.655,4.469
-653.146287,-880.145813,4.652,4.470
-649.516140,-876.707490,4.650,4.472
-645.886944,-873.268684,4.647,4.473
-642.258789,-869.829332,4.645,4.475
-638.631763,-866.389370,4.642,4.476
-635.005957,-862.948736,4.639,4.478
-631.381421,-859.507168,4.637,4.479
-627.757755,-856.062080,4.634,4.481
-624.134263,-852.609367,4.631,4.482
-620.510246,-849.144900,4.629,4.484
-616.885361,-845.664338,4.630,4.493
-613.296293,-842.141440,4.670,4.574
-609.848486,-838.509300,4.699,4.624
-606.654860,-834.696587,4.629,4.412
-603.827648,-830.632458,4.556,4.512
-601.410505,-826.294430,4.541,4.511
-599.321197,-821.748799,4.490,4.464
-597.463996,-817.071376,4.481,4.363
-595.743649,-812.337662,4.541,4.213
-594.110684,-807.592913,4.405,4.380
-592.598847,-802.827422,4.369,4.484
-591.250695,-798.025661,4.438,4.519
-590.108636,-793.172207,4.470,4.423
-589.201472,-788.261594,4.528,4.356
-588.533507,-783.306266,4.671,4.405
-588.106484,-778.320543,4.734,4.435
-587.922148,-773.318742,4.686,4.437
-587.982242,-768.315182,4.638,4.439
-588.288512,-763.324182,4.647,4.389
-588.842700,-758.360058,4.673,4.323
-589.646343,-753.437032,4.746,4.418
-590.682898,-748.560722,4.789,4.504
-591.903981,-743.721605,4.743,4.525
-593.257968,-738.908614,4.696,4.545
-594.693237,-734.110684,4.650,4.565
-596.158164,-729.316750,4.603,4.585
-597.601125,-724.515745,4.557,4.605
-598.970499,-719.696605,4.769,4.633
-600.214863,-714.848328,4.817,4.677
-601.299484,-709.965278,4.787,4.727
-602.218470,-705.051085,4.744,4.745
-602.968795,-700.110304,4.695,4.747
-603.547435,-695.147487,4.678,4.914
-603.951364,-690.167188,4.734,4.849
-604.177557,-685.173960,4.764,4.833
-604.222989,-680.172356,4.863,4.855
-604.084541,-675.166991,5.001,4.933
-603.751807,-670.167219,5.065,5.146
-603.202013,-665.190443,5.052,5.223
-602.411185,-660.254844,5.032,5.183
-601.355778,-655.378441,5.467,5.638
-600.044830,-650.566803,5.962,6.160
-598.542117,-645.804584,5.949,6.156
-596.916657,-641.074435,5.937,6.153
-595.237139,-636.359089,5.924,6.149
-593.548143,-631.647302,5.912,6.146
-591.854110,-626.937857,5.899,6.143
-590.155682,-622.230489,5.887,6.139
-588.453503,-617.524928,5.874,6.136
-586.748217,-612.820908,5.836,6.057
-585.040465,-608.118160,5.783,5.935
-583.330893,-603.416419,5.729,5.812
-581.620141,-598.715415,5.676,5.690
-579.908855,-594.014882,5.623,5.568
-578.197676,-589.314552,5.570,5.445
-576.487249,-584.614158,5.516,5.323
-574.778216,-579.913431,5.463,5.201
-573.071221,-575.212106,5.443,5.154
-571.366906,-570.509913,5.443,5.153
-569.665915,-565.806586,5.442,5.152
-567.968887,-561.101860,5.442,5.151
-566.276170,-556.395584,5.442,5.151
-564.587642,-551.687799,5.441,5.150
-562.903144,-546.978560,5.441,5.149
-561.222510,-542.267925,5.440,5.148
-559.545580,-537.555949,5.440,5.147
-557.872191,-532.842690,5.440,5.146
-556.202180,-528.128202,5.439,5.145
-554.535385,-523.412543,5.439,5.144
-552.871644,-518.695768,5.439,5.143
-551.210794,-513.977935,5.438,5.142
-549.552673,-509.259099,5.438,5.141
-547.897118,-504.539317,5.437,5.140
-546.243967,-499.818646,5.437,5.139
-544.593057,-495.097141,5.437,5.138
-542.944226,-490.374858,5.436,5.137
-541.297312,-485.651855,5.436,5.136
-539.652153,-480.928188,5.435,5.135
-538.008585,-476.203912,5.435,5.134
-536.366446,-471.479085,5.435,5.133
-534.725574,-466.753762,5.434,5.132
-533.085807,-462.028000,5.428,5.157
-531.446982,-457.301855,5.419,5.196
-529.808937,-452.575383,5.411,5.235
-528.171509,-447.848642,5.402,5.274
-526.534536,-443.121687,5.393,5.313
-524.897855,-438.394574,5.384,5.352
-523.261305,-433.667360,5.375,5.391
-521.624722,-428.940102,5.366,5.430
-519.987944,-424.212855,5.357,5.469
-518.350809,-419.485676,5.348,5.508
-516.713154,-414.758621,5.339,5.547
-515.074817,-410.031747,5.349,5.556
-513.435657,-405.305110,5.365,5.554
-511.795634,-400.578773,5.381,5.553
-510.154736,-395.852798,5.397,5.551
-508.512955,-391.127248,5.414,5.550
-506.870278,-386.402186,5.430,5.548
-505.226696,-381.677674,5.446,5.547
-503.582198,-376.953776,5.462,5.545
-501.936773,-372.230554,5.479,5.544
-500.290411,-367.508071,5.495,5.542
-498.643102,-362.786389,5.511,5.541
-496.994835,-358.065573,5.527,5.539
-495.345598,-353.345683,5.544,5.538
-493.695383,-348.626784,5.560,5.536
-492.044178,-343.908938,5.576,5.535
-490.391972,-339.192207,5.592,5.533
-488.738756,-334.476655,5.609,5.532
-487.083511,-329.762091,5.570,5.529
-485.420646,-325.047178,5.526,5.527
-483.743273,-320.330250,5.482,5.525
-482.044503,-315.609642,5.438,5.523
-480.328104,-310.882925,5.398,5.516
-478.645773,-306.144213,5.430,5.424
-477.062672,-301.386655,5.462,5.332
